id,mode,k,n,pruning_count,pruning_edges,local_vertices,local_decisions,local_decision_count,graph_generator_count,graph_generator_rank,base_labelled_violation_count,base_labelled_violation_rank,base_combined_mask_violation_rank,base_kernel_rank,predicted_local_base_count,individually_valid_generator_count,individually_valid_generator_rank,predicted_by_individual_compatibility,valid_labelled_violation_count,valid_labelled_violation_rank,valid_combined_mask_violation_rank,labelled_kernel_rank,predicted_local_valid_count,base_rank_identity_holds,valid_rank_identity_holds,graph_generators,individually_valid_generators,exact_local_base_count,exact_local_valid_count,exact_local_base_dim,exact_local_valid_dim,base_prediction_matches,valid_prediction_matches,individual_prediction_matches
ddgp-p2-n11-0020,ddgp,2,11,2,5-6;8-10,"{1,2,3,4,5,6,7,8,10}","{4,5,6,7,8,10}",6,10,6,2,2,6,4,16,0,0,1,6,6,6,0,1,True,True,"{10}@{3,7}:base-clique;{10}@{3,7}:cone;{8}@{3,4}:cone;{7,10}@{3,4}:cone;{7,8,10}@{3,4}:base-clique;{6}@{2,3}:cone;{5}@{1,3}:base-clique;{5}@{1,3}:cone;{4,7,8,10}@{2,3}:cone;{4,6,7,8,10}@{2,3}:base-clique",,16,1,4,0,True,True,True
ddgp-p2-n11-0021,ddgp,2,11,2,4-8;5-6,"{1,2,3,4,5,6,7,8}","{4,5,6,7,8}",5,9,5,3,3,5,2,4,0,0,1,7,5,5,0,1,True,True,"{8}@{3,7}:base-clique;{8}@{3,7}:cone;{7,8}@{3,4}:cone;{6}@{3,4}:cone;{6,7,8}@{3,4}:base-clique;{5}@{2,3}:base-clique;{5}@{2,3}:cone;{4,6,7,8}@{1,3}:base-clique;{4,6,7,8}@{1,3}:cone",,4,1,2,0,True,True,True
ddgp-p2-n11-0022,ddgp,2,11,2,2-7;3-5,"{1,2,3,4,5,7}","{4,5,7}",3,6,3,3,2,3,1,2,0,0,1,5,3,3,0,1,True,True,"{7}@{1,4}:base-clique;{7}@{1,4}:cone;{5}@{1,2}:base-clique;{5}@{1,2}:cone;{4,7}@{2,3}:base-clique;{4,7}@{2,3}:cone",,2,1,1,0,True,True,True
ddgp-p2-n11-0023,ddgp,2,11,2,4-10;6-8,"{2,3,4,5,6,7,8,10}","{4,5,6,7,8,10}",6,10,6,0,0,6,6,64,1,1,2,5,5,6,1,2,True,True,"{10}@{2,5}:base-clique;{10}@{2,5}:cone;{8}@{5,7}:base-clique;{8}@{5,7}:cone;{7,8}@{3,5}:base-clique;{7,8}@{3,5}:cone;{6}@{2,3}:cone;{5,7,8,10}@{2,3}:cone;{4}@{2,3}:cone;{4,5,6,7,8,10}@{2,3}:base-clique","{4,5,6,7,8,10}@{2,3}:base-clique",64,2,6,1,True,True,True
ddgp-p2-n11-0024,ddgp,2,11,2,3-9;7-9,"{1,2,3,4,5,6,7,9}","{4,5,6,7,9}",5,9,5,7,4,6,2,4,0,0,1,12,6,6,0,1,True,True,"{9}@{5,6}:base-clique;{9}@{5,6}:cone;{7}@{4,6}:base-clique;{7}@{4,6}:cone;{6,7,9}@{1,3}:cone;{5,9}@{1,3}:cone;{5,6,7,9}@{1,3}:base-clique;{4,7}@{1,2}:base-clique;{4,7}@{1,2}:cone",,4,1,2,0,True,True,True
ddgp-p2-n11-0025,ddgp,2,11,2,4-11;5-8,"{1,2,3,4,5,7,8,11}","{4,5,7,8,11}",5,9,5,4,1,5,4,16,1,1,2,7,4,5,1,2,True,True,"{11}@{3,7}:base-clique;{11}@{3,7}:cone;{8}@{3,4}:cone;{7,11}@{3,4}:cone;{7,8,11}@{3,4}:base-clique;{5}@{2,4}:base-clique;{5}@{2,4}:cone;{4,5,7,8,11}@{1,2}:base-clique;{4,5,7,8,11}@{1,2}:cone","{7,11}@{3,4}:cone",16,2,4,1,True,True,True
ddgp-p2-n11-0026,ddgp,2,11,2,4-8;10-11,"{2,3,4,5,6,8,10,11}","{4,5,6,8,10,11}",6,12,6,0,0,6,6,64,4,2,4,5,4,6,2,4,True,True,"{11}@{6,8}:base-clique;{11}@{6,8}:cone;{10}@{2,5}:base-clique;{10}@{2,5}:cone;{8,11}@{5,6}:base-clique;{8,11}@{5,6}:cone;{6,8,11}@{4,5}:base-clique;{6,8,11}@{4,5}:cone;{5,6,8,10,11}@{2,4}:base-clique;{5,6,8,10,11}@{2,4}:cone;{4,5,6,8,10,11}@{2,3}:base-clique;{4,5,6,8,10,11}@{2,3}:cone","{5,6,8,10,11}@{2,4}:base-clique;{5,6,8,10,11}@{2,4}:cone;{4,5,6,8,10,11}@{2,3}:base-clique;{4,5,6,8,10,11}@{2,3}:cone",64,4,6,2,True,True,True
ddgp-p2-n11-0027,ddgp,2,11,2,2-11;5-8,"{1,2,3,4,5,6,8,11}","{4,5,6,8,11}",5,10,5,8,3,5,2,4,0,0,1,11,5,5,0,1,True,True,"{11}@{4,5}:base-clique;{11}@{4,5}:cone;{8}@{2,6}:base-clique;{8}@{2,6}:cone;{6,8}@{1,5}:base-clique;{6,8}@{1,5}:cone;{5,6,8,11}@{1,3}:base-clique;{5,6,8,11}@{1,3}:cone;{4,11}@{2,3}:base-clique;{4,11}@{2,3}:cone",,4,1,2,0,True,True,True
ddgp-p2-n11-0028,ddgp,2,11,2,1-8;6-10,"{1,2,3,4,5,6,8,10}","{4,5,6,8,10}",5,9,5,4,2,5,3,8,0,0,1,9,5,5,0,1,True,True,"{10}@{4,5}:base-clique;{10}@{4,5}:cone;{8}@{2,5}:base-clique;{8}@{2,5}:cone;{6}@{1,3}:cone;{5,8,10}@{2,4}:base-clique;{5,8,10}@{2,4}:cone;{4,5,8,10}@{1,3}:cone;{4,5,6,8,10}@{1,3}:base-clique",,8,1,3,0,True,True,True
ddgp-p2-n11-0029,ddgp,2,11,2,3-10;9-11,"{1,2,3,4,5,6,7,9,10,11}","{4,5,6,7,9,10,11}",7,13,7,14,6,8,2,4,0,0,1,21,8,8,0,1,True,True,"{11}@{1,10}:base-clique;{11}@{1,10}:cone;{10,11}@{2,4}:base-clique;{10,11}@{2,4}:cone;{9}@{3,7}:base-clique;{9}@{3,7}:cone;{7,9}@{4,6}:base-clique;{7,9}@{4,6}:cone;{6,7,9}@{4,5}:base-clique;{6,7,9}@{4,5}:cone;{5,6,7,9}@{1,3}:cone;{4,6,7,9,10,11}@{1,3}:cone;{4,5,6,7,9,10,11}@{1,3}:base-clique",,4,1,2,0,True,True,True
