id,mode,k,n,pruning_count,pruning_edges,local_vertices,local_decisions,local_decision_count,base_generator_count,base_generator_rank,predicted_local_base_count,individually_valid_generator_count,individually_valid_generator_rank,predicted_by_individual_compatibility,labelled_violation_count,labelled_violation_rank,combined_mask_violation_rank,labelled_kernel_rank,predicted_local_valid_count,rank_identity_holds,base_generators,individually_valid_generators,exact_local_base_count,exact_local_valid_count,exact_local_base_dim,exact_local_valid_dim,base_prediction_matches,valid_prediction_matches,individual_prediction_matches
ddgp-p3-n8-0089,ddgp,2,8,3,3-4;4-8;6-8,"{1,2,3,4,6,7,8}","{4,6,7,8}",4,8,4,16,2,1,2,4,3,4,1,2,True,"{8}@{2,7}:base-clique;{8}@{2,7}:cone;{7,8}@{2,6}:base-clique;{7,8}@{2,6}:cone;{6,7,8}@{2,4}:base-clique;{6,7,8}@{2,4}:cone;{4,6,7,8}@{1,2}:base-clique;{4,6,7,8}@{1,2}:cone","{6,7,8}@{2,4}:base-clique;{6,7,8}@{2,4}:cone",16,2,4,1,True,True,True
ddgp-p3-n8-0090,ddgp,2,8,3,1-7;5-8;6-8,"{1,2,3,4,5,6,7,8}","{4,5,6,7,8}",5,6,4,16,0,0,1,4,4,4,0,1,True,"{8}@{3,4}:cone;{7}@{2,3}:base-clique;{7}@{2,3}:cone;{6}@{3,4}:cone;{6,8}@{3,4}:base-clique;{5}@{1,2}:cone",,16,1,4,0,True,True,True
ddgp-p3-n8-0091,ddgp,2,8,3,2-6;3-8;4-5,"{1,2,3,4,5,6,8}","{4,5,6,8}",4,6,4,16,0,0,1,3,3,4,1,2,True,"{8}@{1,5}:base-clique;{8}@{1,5}:cone;{6}@{1,3}:cone;{5,8}@{1,3}:cone;{4}@{1,3}:cone;{4,5,6,8}@{1,3}:base-clique",,16,2,4,1,True,True,False
ddgp-p3-n8-0092,ddgp,2,8,3,2-5;3-8;4-5,"{1,2,3,4,5,8}","{4,5,8}",3,5,3,8,0,0,1,3,3,3,0,1,True,"{8}@{1,5}:base-clique;{8}@{1,5}:cone;{5,8}@{1,3}:cone;{4}@{1,3}:cone;{4,5,8}@{1,3}:base-clique",,8,1,3,0,True,True,True
ddgp-p3-n8-0093,ddgp,2,8,3,2-4;3-6;3-8,"{1,2,3,4,5,6,7,8}","{4,5,6,7,8}",5,7,4,16,2,1,2,3,3,4,1,2,True,"{8}@{4,7}:base-clique;{8}@{4,7}:cone;{6}@{2,5}:base-clique;{6}@{2,5}:cone;{5,6}@{2,3}:base-clique;{5,6}@{2,3}:cone;{4,7,8}@{1,3}:base-clique","{5,6}@{2,3}:base-clique;{5,6}@{2,3}:cone",16,2,4,1,True,True,True
ddgp-p3-n8-0094,ddgp,2,8,3,4-7;5-6;7-8,"{2,3,4,5,6,7,8}","{4,5,6,7,8}",5,8,5,32,1,1,2,6,4,5,1,2,True,"{8}@{2,5}:base-clique;{8}@{2,5}:cone;{7}@{2,3}:cone;{6}@{2,3}:cone;{5,8}@{2,4}:base-clique;{5,8}@{2,4}:cone;{4,5,8}@{2,3}:cone;{4,5,6,7,8}@{2,3}:base-clique","{4,5,6,7,8}@{2,3}:base-clique",32,2,5,1,True,True,True
ddgp-p3-n8-0095,ddgp,2,8,3,2-7;3-7;4-8,"{1,2,3,4,5,6,7,8}","{4,5,6,7,8}",5,8,4,16,0,0,1,6,4,4,0,1,True,"{8}@{2,3}:base-clique;{8}@{2,3}:cone;{7}@{5,6}:base-clique;{7}@{5,6}:cone;{6,7}@{3,5}:base-clique;{6,7}@{3,5}:cone;{4,5,6,7}@{1,3}:base-clique;{4,5,6,7}@{1,3}:cone",,16,1,4,0,True,True,True
ddgp-p3-n8-0096,ddgp,2,8,3,2-8;3-7;3-8,"{1,2,3,4,6,7,8}","{4,6,7,8}",4,5,3,8,0,0,1,5,3,3,0,1,True,"{8}@{4,6}:base-clique;{8}@{4,6}:cone;{7}@{1,6}:base-clique;{7}@{1,6}:cone;{4,6,7,8}@{1,2}:base-clique",,8,1,3,0,True,True,True
ddgp-p3-n8-0097,ddgp,2,8,3,2-8;4-7;4-8,"{1,2,3,4,7,8}","{4,7,8}",3,6,3,8,0,0,1,5,3,3,0,1,True,"{8}@{1,3}:base-clique;{8}@{1,3}:cone;{7}@{2,3}:base-clique;{7}@{2,3}:cone;{4}@{1,2}:base-clique;{4}@{1,2}:cone",,8,1,3,0,True,True,True
ddgp-p3-n8-0098,ddgp,2,8,3,1-7;2-8;3-8,"{1,2,3,4,6,7,8}","{4,6,7,8}",4,8,4,16,0,0,1,8,4,4,0,1,True,"{8}@{4,7}:base-clique;{8}@{4,7}:cone;{7,8}@{4,6}:base-clique;{7,8}@{4,6}:cone;{6,7,8}@{2,4}:base-clique;{6,7,8}@{2,4}:cone;{4,6,7,8}@{2,3}:base-clique;{4,6,7,8}@{2,3}:cone",,16,1,4,0,True,True,True
ddgp-p3-n8-0099,ddgp,2,8,3,2-4;2-8;3-8,"{1,2,3,4,7,8}","{4,7,8}",3,2,1,2,0,0,1,2,1,1,0,1,True,"{8}@{4,7}:base-clique;{8}@{4,7}:cone",,2,1,1,0,True,True,True
ddgp-p3-n8-0100,ddgp,2,8,3,2-6;3-5;5-8,"{1,2,3,4,5,6,8}","{4,5,6,8}",4,4,2,4,0,0,1,2,2,2,0,1,True,"{8}@{1,4}:base-clique;{8}@{1,4}:cone;{6}@{4,5}:base-clique;{6}@{4,5}:cone",,4,1,2,0,True,True,True
