id,mode,k,n,pruning_count,pruning_edges,local_vertices,local_decisions,local_decision_count,base_generator_count,base_generator_rank,predicted_local_base_count,individually_valid_generator_count,individually_valid_generator_rank,predicted_by_individual_compatibility,labelled_violation_count,labelled_violation_rank,combined_mask_violation_rank,labelled_kernel_rank,predicted_local_valid_count,rank_identity_holds,base_generators,individually_valid_generators,exact_local_base_count,exact_local_valid_count,exact_local_base_dim,exact_local_valid_dim,base_prediction_matches,valid_prediction_matches,individual_prediction_matches
ddgp-p4-n12-0045,ddgp,2,12,4,4-11;6-7;6-11;10-12,"{1,2,3,4,5,6,7,8,9,10,11,12}","{4,5,6,7,8,9,10,11,12}",9,5,3,8,0,0,1,5,3,3,0,1,True,"{12}@{9,11}:base-clique;{12}@{9,11}:cone;{11,12}@{9,10}:base-clique;{11,12}@{9,10}:cone;{6}@{2,3}:cone",,8,1,3,0,True,True,True
ddgp-p4-n12-0046,ddgp,2,12,4,3-11;5-10;10-11;10-12,"{1,2,3,4,5,6,8,9,10,11,12}","{4,5,6,8,9,10,11,12}",8,6,3,8,0,0,1,6,3,3,0,1,True,"{12}@{3,8}:base-clique;{12}@{3,8}:cone;{11}@{4,6}:base-clique;{11}@{4,6}:cone;{10}@{2,9}:base-clique;{10}@{2,9}:cone",,8,1,3,0,True,True,True
ddgp-p4-n12-0047,ddgp,2,12,4,1-11;1-12;4-12;11-12,"{1,2,3,4,5,6,8,10,11,12}","{4,5,6,8,10,11,12}",7,6,3,8,0,0,1,8,3,3,0,1,True,"{12}@{6,8}:base-clique;{12}@{6,8}:cone;{11}@{2,10}:base-clique;{11}@{2,10}:cone;{8,12}@{2,6}:base-clique;{8,12}@{2,6}:cone",,8,1,3,0,True,True,True
ddgp-p4-n12-0048,ddgp,2,12,4,3-8;5-10;10-11;11-12,"{1,2,3,4,5,6,8,10,11,12}","{4,5,6,8,10,11,12}",7,6,3,8,0,0,1,5,3,3,0,1,True,"{12}@{2,8}:base-clique;{12}@{2,8}:cone;{11}@{3,5}:base-clique;{11}@{3,5}:cone;{10}@{1,4}:base-clique;{10}@{1,4}:cone",,8,1,3,0,True,True,True
ddgp-p4-n12-0049,ddgp,2,12,4,4-12;5-8;8-10;10-11,"{1,2,3,4,5,6,7,8,9,10,11,12}","{4,5,6,7,8,9,10,11,12}",9,7,4,16,0,0,1,5,4,4,0,1,True,"{12}@{8,9}:base-clique;{12}@{8,9}:cone;{11}@{2,4}:base-clique;{11}@{2,4}:cone;{10}@{7,9}:base-clique;{10}@{7,9}:cone;{5,6,7,8,9,10,12}@{3,4}:base-clique",,16,1,4,0,True,True,True
ddgp-p4-n12-0050,ddgp,2,12,4,2-6;5-9;6-8;11-12,"{1,2,3,5,6,8,9,11,12}","{5,6,8,9,11,12}",6,7,4,16,1,1,2,4,3,4,1,2,True,"{12}@{3,5}:cone;{11}@{3,5}:cone;{11,12}@{3,5}:base-clique;{8}@{2,5}:base-clique;{8}@{2,5}:cone;{6}@{1,5}:base-clique;{6}@{1,5}:cone","{11,12}@{3,5}:base-clique",16,2,4,1,True,True,True
ddgp-p5-n12-0001,ddgp,2,12,5,2-6;2-9;3-7;3-12;4-8,"{1,2,3,4,6,7,8,9,12}","{4,6,7,8,9,12}",6,3,2,4,0,0,1,2,2,2,0,1,True,"{12}@{6,8}:cone;{9}@{6,8}:cone;{9,12}@{6,8}:base-clique",,4,1,2,0,True,True,True
ddgp-p5-n12-0002,ddgp,2,12,5,1-8;3-7;4-5;8-9;10-11,"{1,2,3,4,5,6,7,8,9,10,11}","{4,5,6,7,8,9,10,11}",8,8,4,16,0,0,1,5,4,4,0,1,True,"{11}@{1,4}:base-clique;{11}@{1,4}:cone;{10}@{5,9}:base-clique;{10}@{5,9}:cone;{8}@{3,4}:base-clique;{8}@{3,4}:cone;{7}@{4,6}:base-clique;{7}@{4,6}:cone",,16,1,4,0,True,True,True
ddgp-p5-n12-0003,ddgp,2,12,5,2-11;3-10;3-11;4-6;7-10,"{1,2,3,4,5,6,7,10,11}","{4,5,6,7,10,11}",6,4,3,8,0,0,1,5,3,3,0,1,True,"{11}@{6,7}:base-clique;{11}@{6,7}:cone;{10}@{1,2}:cone;{4}@{2,3}:cone",,8,1,3,0,True,True,True
ddgp-p5-n12-0004,ddgp,2,12,5,1-8;3-4;3-11;3-12;9-12,"{1,2,3,4,6,8,9,11,12}","{4,6,8,9,11,12}",6,5,3,8,0,0,1,4,3,3,0,1,True,"{12}@{1,6}:base-clique;{12}@{1,6}:cone;{11}@{2,9}:base-clique;{11}@{2,9}:cone;{8}@{2,3}:cone",,8,1,3,0,True,True,True
ddgp-p5-n12-0005,ddgp,2,12,5,3-5;3-8;5-8;6-12;9-10,"{1,2,3,4,5,6,7,8,9,10,12}","{4,5,6,7,8,9,10,12}",8,10,5,32,0,0,1,9,5,5,0,1,True,"{12}@{4,10}:base-clique;{12}@{4,10}:cone;{9}@{4,5}:base-clique;{9}@{4,5}:cone;{8}@{2,6}:base-clique;{8}@{2,6}:cone;{6,8}@{2,3}:base-clique;{6,8}@{2,3}:cone;{5,9}@{1,4}:base-clique;{5,9}@{1,4}:cone",,32,1,5,0,True,True,True
